original_file,github_filename,suggested_title,folder,include_on_site,notes
20230729_115318.jpg,wildlife-toad-water-edge-20230729.jpg,Toad at water edge,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20231111_134144.jpg,wildlife-bald-eagle-tree-perch-20231111.jpg,Bald eagle on tree perch,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20231218_120231.jpg,wildlife-bald-eagle-closeup-20231218.jpg,Bald eagle close-up,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240102_130943.jpg,wildlife-raptor-flight-blue-sky-20240102.jpg,Raptor in flight against blue sky,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240424_170300.jpg,wildlife-american-robin-grass-20240424.jpg,American robin on grass,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240427_165132.jpg,wildlife-fox-squirrels-patio-20240427.jpg,Fox squirrels on patio,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240427_165333.jpg,wildlife-fox-squirrel-patio-20240427.jpg,Fox squirrel on patio,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240427_165407 (1).jpg,wildlife-fox-squirrels-mating-behavior-20240427.jpg,Fox squirrels — natural behavior,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240512_171203.jpg,wildlife-canada-goose-goslings-grass-20240512.jpg,Canada goose family with goslings,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240517_135829.jpg,wildlife-turtle-surface-water-20240517.jpg,Turtle surfacing in water,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240518_125923.jpg,wildlife-black-crowned-night-heron-water-20240518.jpg,Black-crowned night heron by water,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240518_125951.jpg,wildlife-canada-goose-reflection-20240518.jpg,Canada goose with reflection,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240519_083110.jpg,wildlife-garter-snake-gravel-20240519.jpg,Garter snake on gravel,DCP-Visuals/wildlife/,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
